Color,director_name,actor1_name,actor2_name,actor3_name,num_critic_votes_imdb,num_user_votes_rt,genre,movie_title,release_date,gross_income,budget,country,language,plot_keywords,avg_imdb_rt_score,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,content_rating,aspect_ratio,movie_facebook_likes,Images
0,John Stockwell,Matthew Ziff,T.J. Storm,Sam Medina,2,246,Action,Kickboxer: Vengeance ,2016,0,17000000,USA,0,0,9.1,134,260000,454,354,261818,5,http://www.imdb.com/title/tt3082898/?ref_=fn_tt_tt_1,1,0,0,0,Kickboxer Vengeance.jpg
Color,Michael Winnick,Scott Takeda,Helena Mattsson,Craig Sheffer,15,662,Action,Code of Honor †,2016,0,8000000,USA,English,"gun, mayor, nightclub, police, vigilantism",4.2,155,981,505,391,2741,0,http://www.imdb.com/title/tt4060866/?ref_=fn_tt_tt_1,14,R,0,689,none
Color,Alec Asten,Luis Sanchez,Dennis L.A. White,Fredro Starr,1,53,Action,Diamond Ruff †,2015,0,500000,USA,English,"prison, prisoner, reverend, terminal illness, two word title",4.3,5,472,251,237,1752,6,http://www.imdb.com/title/tt2111292/?ref_=fn_tt_tt_1,5,R,0,62,none
Color,Danny Pang,Louis Koo,Angelica Lee,Ching Wan Lau,23,625,Action,Out of Inferno †,2013,0,0,China,Chinese,0,5.7,15,82,39,27,151,2,http://www.imdb.com/title/tt2957680/?ref_=fn_tt_tt_1,4,PG-13,1.85,124,none
Color,RZA,Rick Yune,RZA,Daniel Wu,208,53471,Action,The Man with the Iron Fists †,2012,15608545,15000000,USA,English,"blacksmith, box office flop, chop socky, critically bashed, village",5.4,561,746,561,353,2377,3,http://www.imdb.com/title/tt1258972/?ref_=fn_tt_tt_1,224,R,2.35,29000,none
Color,Chao-Bin Su,Woo-sung Jung,Shawn Yue,Kelly Lin,50,6069,Action,Reign of Assassins †,2010,0,12000000,China,Mandarin,"martial arts, sword fight, wuxia",6.9,2,149,32,21,243,2,http://www.imdb.com/title/tt1460743/?ref_=fn_tt_tt_1,34,R,2.35,1000,Reign of Assassins †.jpg
Color,Tony Jaa,Nirut Sirichanya,Petchtai Wongkamlao,Sarunyu Wongkrachang,110,24570,Action,Ong-bak 2 †,2008,102055,300000000,Thailand,Thai,"cult film, elephant, jungle, martial arts, stylized violence",6.2,0,64,45,7,134,0,http://www.imdb.com/title/tt0785035/?ref_=fn_tt_tt_1,72,R,2.35,0,none
 Black and White,Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama,354,735784,Action,Kill Bill: Vol. 1 †,2003,70098138,30000000,USA,English,"bride, coma, japan, revenge, sword",8.1,16000,926,890,640,3983,0,http://www.imdb.com/title/tt0266697/?ref_=fn_tt_tt_1,2105,R,2.35,13000,none
Color,Joel Schumacher,Michael Gough,Vivica A. Fox,John Glover,183,189855,Action,Batman & Robin †,1997,107285004,125000000,USA,English,"butler, critically bashed, cure, freeze, gotham",3.7,541,920,890,409,2699,3,http://www.imdb.com/title/tt0118688/?ref_=fn_tt_tt_1,1018,PG-13,1.85,0,none
Color,Jon Hess,Burt Young,Ian Gomez,Thomas Ian Griffith,19,922,Action,Excessive Force †,1993,1200000,3000000,USA,English,"exercise bicycle, face in food, police, police brutality, policeman",5.1,29,683,155,147,1139,1,http://www.imdb.com/title/tt0104215/?ref_=fn_tt_tt_1,23,R,1.85,107,none
Color,Tim Burton,Michael Gough,Vincent Schiavelli,Andrew Bryniarski,153,215255,Action,Batman Returns †,1992,162831698,80000000,USA,English,"box office hit, dc comics, gotham, mayor, penguin",7,13000,920,811,390,2899,0,http://www.imdb.com/title/tt0103776/?ref_=fn_tt_tt_1,610,PG-13,1.85,0,none
Color,Brett Ratner,Dwayne Johnson,Rufus Sewell,Ingrid Bols√∏ Berdal,245,115687,"Action, Adventure",Hercules †,2014,72660029,100000000,USA,English,"army, greek mythology, hercules, king, mercenary",6,420,12000,3000,467,16235,0,http://www.imdb.com/title/tt1267297/?ref_=fn_tt_tt_1,269,PG-13,2.35,21000,none
Color,Brett Ratner,Dwayne Johnson,Rufus Sewell,Ingrid Bols√∏ Berdal,245,115687,"Action, Adventure",Hercules †,2014,72660029,100000000,USA,English,"army, greek mythology, hercules, king, mercenary",6,420,12000,3000,467,16235,0,http://www.imdb.com/title/tt1267297/?ref_=fn_tt_tt_1,269,PG-13,2.35,21000,none
Color,Ernie Barbarash,Michael Jai White,Michael J. Morris,Lateef Crowder,29,4952,"Action, Adventure",Falcon Rising †,2014,8691,4500000,USA,English,0,5.8,249,2000,298,261,3089,1,http://www.imdb.com/title/tt2295722/?ref_=fn_tt_tt_1,32,R,0,0,none
Color,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,403,330784,"Action, Adventure",Quantum of Solace †,2008,168368427,200000000,UK,English,"action hero, attempted rape, bond girl, official james bond series, revenge",6.7,395,451,412,393,2023,1,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243,PG-13,2.35,0,none
Color,Serdar Akar,Necati Sasmaz,Berg√ºzar Korel,Ghassan Massoud,16,14486,"Action, Adventure",Valley of the Wolves: Iraq †,2006,0,8300000,Turkey,Arabic,"abu ghraib, bomb, christian, explosion, iraq",6,11,205,197,173,808,3,http://www.imdb.com/title/tt0493264/?ref_=fn_tt_tt_1,159,0,1.85,467,none
Color,Corey Yuen,Steve Howey,Holly Valance,Sarah Carter,110,38503,"Action, Adventure",DOA: Dead or Alive †,2006,480314,21000000,USA,English,"female fighter, island, martial arts, parachute, tournament",4.8,23,826,816,748,4473,4,http://www.imdb.com/title/tt0398913/?ref_=fn_tt_tt_1,180,PG-13,2.35,0,none
Color,Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,478,980946,"Action, Adventure",Batman Begins †,2005,205343774,150000000,USA,English,"armored car, gangster, gotham, mixed martial arts, social decay",8.3,22000,23000,14000,11000,59558,0,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,2685,PG-13,2.35,15000,none
